experiment_id,variant_name,model_name,pretrainer,dataset,freeze_encoder,encoder_type,scorer_type,weakly_supervision,config_type,model_cate,architecture,input_dim,latent_dim,components_used
e4558c92-1c1a-4067-8bce-f6edeaad22f0,feature_ae_loss_scorer,devnet,,spambase,,,devnet_scorer,60,devnet_default_configs,benchmark,MLP,57,64,"['feature', 'ae', 'loss', 'scorer']"
9c0ee6aa-1b57-4d1b-aed2-4b09ab442c93,feature_ae_loss_scorer,devnet,,spambase,,,devnet_scorer,90,devnet_default_configs,benchmark,MLP,57,64,"['feature', 'ae', 'loss', 'scorer']"
e0b32e99-44cb-400f-ad78-628684094b7e,feature_ae_loss_scorer,devnet,,spambase,,,devnet_scorer,120,devnet_default_configs,benchmark,MLP,57,64,"['feature', 'ae', 'loss', 'scorer']"
a8620561-93b7-49ba-8e47-a5b0cb42e534,feature_ae_loss_scorer,devnet,,arrhythmia,,,devnet_scorer,15,devnet_default_configs,benchmark,MLP,279,64,"['feature', 'ae', 'loss', 'scorer']"
1817f859-f69f-46c1-9fd5-b76c8d892c34,feature_ae_loss_scorer,devnet,,cardio,,,devnet_scorer,30,devnet_default_configs,benchmark,MLP,21,64,"['feature', 'ae', 'loss', 'scorer']"
d70d20d9-c27f-413b-86e3-acb70da16730,feature_ae_loss_scorer,devnet,,cardio,,,devnet_scorer,60,devnet_default_configs,benchmark,MLP,21,64,"['feature', 'ae', 'loss', 'scorer']"
c960c2da-6115-4b83-9c44-ee2b9b770742,feature_ae_loss_scorer,devnet,,cardio,,,devnet_scorer,90,devnet_default_configs,benchmark,MLP,21,64,"['feature', 'ae', 'loss', 'scorer']"
c72b49b4-e21b-4b52-975b-df018e7ab1ad,feature_ae_loss_scorer,devnet,,cardio,,,devnet_scorer,120,devnet_default_configs,benchmark,MLP,21,64,"['feature', 'ae', 'loss', 'scorer']"
b39b3df5-140a-450e-a920-981cae836a40,feature_ae_loss_scorer,devnet,,satellite,,,devnet_scorer,30,devnet_default_configs,benchmark,MLP,36,64,"['feature', 'ae', 'loss', 'scorer']"
28723120-8a2c-4752-a7f3-5a0a9ab4d500,feature_ae_loss_scorer,devnet,,satellite,,,devnet_scorer,60,devnet_default_configs,benchmark,MLP,36,64,"['feature', 'ae', 'loss', 'scorer']"
24302198-b099-4e1f-8807-16358df347ae,feature_ae_loss_scorer,devnet,,satellite,,,devnet_scorer,90,devnet_default_configs,benchmark,MLP,36,64,"['feature', 'ae', 'loss', 'scorer']"
da70a760-1203-482b-9d55-c09a05bc9320,feature_ae_loss_scorer,devnet,,satellite,,,devnet_scorer,120,devnet_default_configs,benchmark,MLP,36,64,"['feature', 'ae', 'loss', 'scorer']"
0988fb25-3139-4002-bdc8-6ec16c5b4ba9,feature_ae_loss_scorer,devnet,,shuttle,,,devnet_scorer,30,devnet_default_configs,benchmark,MLP,9,64,"['feature', 'ae', 'loss', 'scorer']"
361f1ff2-8b24-426a-aa61-bb854d0febdc,feature_ae_loss_scorer,devnet,,shuttle,,,devnet_scorer,60,devnet_default_configs,benchmark,MLP,9,64,"['feature', 'ae', 'loss', 'scorer']"
e1c95147-c0df-4b4b-959f-38f8faa3f4d8,feature_ae_loss_scorer,devnet,,shuttle,,,devnet_scorer,90,devnet_default_configs,benchmark,MLP,9,64,"['feature', 'ae', 'loss', 'scorer']"
48fe0d64-5916-4d29-9359-eec8b5d7e148,feature_ae_loss_scorer,devnet,,shuttle,,,devnet_scorer,120,devnet_default_configs,benchmark,MLP,9,64,"['feature', 'ae', 'loss', 'scorer']"
3b4d286f-1bde-447a-994a-bec55302a378,feature_ae_loss_scorer,devnet,,mammography,,,devnet_scorer,30,devnet_default_configs,benchmark,MLP,6,64,"['feature', 'ae', 'loss', 'scorer']"
a8409089-072e-4164-8568-46426448da85,feature_ae_loss_scorer,devnet,,mammography,,,devnet_scorer,60,devnet_default_configs,benchmark,MLP,6,64,"['feature', 'ae', 'loss', 'scorer']"
90b4c442-79c8-4063-804f-7ff4cc673627,feature_ae_loss_scorer,devnet,,mammography,,,devnet_scorer,90,devnet_default_configs,benchmark,MLP,6,64,"['feature', 'ae', 'loss', 'scorer']"
f0c619ff-f6e0-44fc-9250-eaa8aad33437,feature_ae_loss_scorer,devnet,,mammography,,,devnet_scorer,120,devnet_default_configs,benchmark,MLP,6,64,"['feature', 'ae', 'loss', 'scorer']"
41d086ce-0907-417c-a64e-6a84ff3b85b4,feature_ae_loss_scorer,devnet,,fraud,,,devnet_scorer,30,devnet_default_configs,benchmark,MLP,29,64,"['feature', 'ae', 'loss', 'scorer']"
535b0f9d-9940-4164-98df-87f420c86c55,feature_ae_loss_scorer,devnet,,fraud,,,devnet_scorer,60,devnet_default_configs,benchmark,MLP,29,64,"['feature', 'ae', 'loss', 'scorer']"
5ff27303-7b0e-403a-971d-49740c521bb0,feature_ae_loss_scorer,devnet,,fraud,,,devnet_scorer,90,devnet_default_configs,benchmark,MLP,29,64,"['feature', 'ae', 'loss', 'scorer']"
ec380059-20dd-42ac-b5c1-88a6007efccd,feature_ae_loss_scorer,devnet,,fraud,,,devnet_scorer,120,devnet_default_configs,benchmark,MLP,29,64,"['feature', 'ae', 'loss', 'scorer']"
0e5966b6-3912-450b-aee6-5bd9ab6c7983,feature_ae_loss_scorer,deepsad,True,nslkdd,,,deepsad_scorer,30,deepsad_default_configs,benchmark,MLP,122,64,"['feature', 'ae', 'loss', 'scorer']"
80b7ae19-b662-4ce3-bc4f-0f07b849c6e3,feature_ae_loss_scorer,deepsad,True,nslkdd,,,deepsad_scorer,60,deepsad_default_configs,benchmark,MLP,122,64,"['feature', 'ae', 'loss', 'scorer']"
392f464a-16c4-42af-b974-5395c3790cfb,feature_ae_loss_scorer,deepsad,True,nslkdd,,,deepsad_scorer,90,deepsad_default_configs,benchmark,MLP,122,64,"['feature', 'ae', 'loss', 'scorer']"
c8268fed-2353-44ec-87ba-1f8a2a21b928,feature_ae_loss_scorer,deepsad,True,nslkdd,,,deepsad_scorer,120,deepsad_default_configs,benchmark,MLP,122,64,"['feature', 'ae', 'loss', 'scorer']"
aefd33fe-dcc3-467a-a062-5ac8bf21c5bb,feature_ae_loss_scorer,deepsad,True,spambase,,,deepsad_scorer,30,deepsad_default_configs,benchmark,MLP,57,64,"['feature', 'ae', 'loss', 'scorer']"
bb05cc04-2b7a-4f69-8abd-1b137b42e76b,feature_ae_loss_scorer,deepsad,True,spambase,,,deepsad_scorer,60,deepsad_default_configs,benchmark,MLP,57,64,"['feature', 'ae', 'loss', 'scorer']"
3d26e46d-35be-4b4d-9cca-92aa2720e2dc,feature_ae_loss_scorer,deepsad,True,spambase,,,deepsad_scorer,90,deepsad_default_configs,benchmark,MLP,57,64,"['feature', 'ae', 'loss', 'scorer']"
